position	functional_class	mitomap_class_loci	n_mitomap_class_loci	mitomap_all_loci	mitomap_all_descriptions	mitomap_source_revision	mitomap_source_url
13	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
14	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
15	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
16	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
17	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
18	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
19	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
20	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
21	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
22	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
23	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
24	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
25	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
26	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
27	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
28	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
29	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
30	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
31	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
32	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
33	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
34	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
35	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
36	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
37	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
38	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
39	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
40	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
41	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
42	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
43	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
44	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
45	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
46	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
47	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
48	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
49	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
50	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
51	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
52	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
53	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
54	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
55	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
56	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR	7S DNA | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
57	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2;MT-OHR57	7S DNA | H-strand origin | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
58	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
59	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
60	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
61	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
62	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
63	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
64	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
65	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
66	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
67	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
68	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
69	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
70	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
71	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
72	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
73	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
74	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
75	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
76	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
77	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
78	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
79	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
80	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
81	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
82	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
83	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
84	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
85	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
86	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
87	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
88	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
89	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
90	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
91	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
92	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
93	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
94	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
95	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
96	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
97	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
98	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
99	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
100	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
101	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
102	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
103	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
104	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
105	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
106	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
107	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
108	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
109	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2	7S DNA | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
110	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2;MT-OHR	7S DNA | H-strand origins | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
111	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2;MT-OHR	7S DNA | H-strand origins | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
112	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2;MT-OHR	7S DNA | H-strand origins | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
113	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2;MT-OHR	7S DNA | H-strand origins | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
114	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2;MT-OHR	7S DNA | H-strand origins | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
115	control_region	MT-CR	1	MT-7SDNA;MT-ATT;MT-CR;MT-HV2;MT-OHR	7S DNA | H-strand origins | Hypervariable segment 2 [classic:73-340 ] | entire Control Region (including displacement loop) | membrane attachment site	r889	https://www.mitomap.org/foswiki/bin/view/MITOMAP/GenomeLoci
